"ii" "jj" "X1" "X2" "X3" "X4" "X5" "X6" "X31" "X32" "X33" "X34" "X35" "X36"
"219" 1 7 0.0550000000000002 0.0550000000000002 0.0550000000000002 0.0550000000000002 0.0550000000000002 0.0550000000000002 1.24860274846022 1.39033909680876 1.06379412476513 1.29265343006336 1.21069501876692 1.17281173905444
"220" 1 8 0.0550000000000002 0.0550000000000002 0.0550000000000002 0.0550000000000002 0.0550000000000002 0.0550000000000002 1.19305777964150 1.11779363576997 1.14548451754476 1.35226808740292 1.24371704195611 1.05729185730109
"221" 1 9 2.067 2.29 2.169 2.035 1.989 1.776 1.60773113833480 1.79141596930365 1.65924571574337 1.72194731631709 1.91969781630733 1.48376336893144
"222" 1 10 0.085 0.246 0.277 0.132 0.124 0.2 1.35986190860980 1.45651778382706 1.21046850332808 1.48909600919980 1.31050100944619 1.43626410316386
"223" 1 11 0.676 0.806 0.571 0.78 0.56 0.821 1.51480754119920 1.61803560158262 1.49230879018113 1.50963537783756 1.37730431338224 1.72907382265151
"224" 1 12 0.0550000000000002 0.0550000000000002 0.0550000000000002 0.0550000000000002 0.0550000000000002 0.0550000000000002 1.29895404678569 1.37076474509104 1.43341409919280 1.32720890726076 1.29227538096843 1.12141315984015
"225" 2 1 0.0550000000000002 0.0550000000000002 0.0550000000000002 0.0550000000000002 0.0550000000000002 0.0550000000000002 1.06763971894582 1.21917621691026 0.878788401076332 1.13558507176908 0.987096846435955 1.27382136829092
"226" 2 2 0.0550000000000002 0.0550000000000002 0.0550000000000002 0.0550000000000002 1.01 0.0550000000000002 0.99502520462396 1.02947928163295 0.95342549770747 0.665877002143031 1.22182077143023 0.996594999951573
"227" 2 3 0.0550000000000002 0.0550000000000002 0.0550000000000002 0.0550000000000002 0.0550000000000002 0.0550000000000002 1.2963123156095 1.16522972625164 1.10067469538847 0.919355589395086 1.36405866415967 1.24237334725099
"228" 2 4 0.64 0.376 0.628 0.517 0.705 0.445 1.54216767526408 1.18989207660039 1.56561554295036 1.14040032942158 1.39918090425712 1.28860511282878
"229" 2 5 0.435 0.218 0.377 0.243 0.239 0.488 1.57890129778542 1.27684344503055 1.27194905932452 0.857195613692194 0.893672704967706 1.45570239457256
